customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
CUST-00001,Male,0,No,No,11,Yes,No,Fiber optic,Yes,Yes,Yes,Yes,No,No,Month-to-month,No,Mailed check,92.21,1023.0,Yes
CUST-00002,Female,1,No,No,22,Yes,Yes,Fiber optic,No,No,No,No,No,No,One year,No,Mailed check,107.43,2370.0,No
CUST-00003,Male,0,No,No,21,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Bank transfer (automatic),22.04,465.23,Yes
CUST-00004,Male,0,Yes,No,58,Yes,No,Fiber optic,No,No,No,Yes,No,No,One year,No,Electronic check,51.79,3003.06,No
CUST-00005,Male,0,Yes,No,14,Yes,Yes,Fiber optic,Yes,No,Yes,No,Yes,No,Two year,Yes,Electronic check,98.2,1375.14,No
CUST-00006,Female,1,Yes,No,44,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Electronic check,28.41,1252.31,No
CUST-00007,Male,0,Yes,Yes,56,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Mailed check,28.49,1585.99,No
CUST-00008,Male,0,Yes,No,49,Yes,No,DSL,No,Yes,No,Yes,Yes,Yes,One year,Yes,Electronic check,64.5,3168.87,No
CUST-00009,Male,0,Yes,No,38,Yes,No,DSL,No,Yes,Yes,No,Yes,No,Two year,No,Mailed check,67.51,2557.59,Yes
CUST-00010,Female,0,Yes,Yes,7,Yes,No,Fiber optic,Yes,No,No,Yes,No,No,Month-to-month,No,Credit card (automatic),100.9,700.45,No
CUST-00011,Male,0,Yes,Yes,8,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,22.24,167.9,No
CUST-00012,Male,0,Yes,No,48,Yes,No,Fiber optic,No,Yes,Yes,No,No,Yes,One year,Yes,Electronic check,108.97,5234.08,No
CUST-00013,Male,0,No,No,41,Yes,Yes,DSL,No,No,No,No,No,No,One year,Yes,Electronic check,61.29,2522.68,No
CUST-00014,Male,0,No,Yes,71,Yes,Yes,Fiber optic,No,No,No,No,No,No,Two year,Yes,Electronic check,104.41,7406.64,No
CUST-00015,Female,0,Yes,No,50,Yes,No,DSL,Yes,No,Yes,No,No,No,Month-to-month,Yes,Mailed check,58.91,2942.54,No
CUST-00016,Male,0,Yes,No,68,Yes,No,Fiber optic,No,Yes,No,Yes,No,Yes,Month-to-month,Yes,Bank transfer (automatic),73.69,5008.17,Yes
CUST-00017,Female,0,Yes,Yes,40,Yes,No,Fiber optic,Yes,No,No,Yes,No,No,Month-to-month,No,Mailed check,108.08,4319.33,Yes
CUST-00018,Female,0,No,Yes,5,Yes,No,Fiber optic,Yes,Yes,No,No,No,No,One year,Yes,Bank transfer (automatic),70.92,353.84,No
CUST-00019,Female,1,Yes,No,9,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,18.15,162.52,No
CUST-00020,Male,0,No,No,7,Yes,Yes,Fiber optic,Yes,No,No,No,Yes,No,Month-to-month,No,Mailed check,94.17,663.59,Yes
CUST-00021,Female,1,Yes,No,1,Yes,No,DSL,No,No,Yes,No,No,No,Month-to-month,Yes,Mailed check,64.25,64.25,No
CUST-00022,Male,0,Yes,No,9,Yes,No,Fiber optic,No,Yes,No,No,Yes,No,One year,Yes,Mailed check,94.23,840.84,No
CUST-00023,Female,0,Yes,Yes,10,Yes,No,DSL,No,No,No,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,59.55,602.07,Yes
CUST-00024,Female,1,Yes,No,28,Yes,No,Fiber optic,Yes,No,No,No,No,No,One year,No,Electronic check,62.73,1763.52,No
CUST-00025,Female,0,No,No,61,Yes,No,Fiber optic,Yes,No,No,No,No,No,Month-to-month,No,Electronic check,90.71,5530.63,No
CUST-00026,Female,0,No,No,6,No,No phone service,Fiber optic,No,Yes,No,No,No,No,Two year,Yes,Electronic check,50.69,308.6,No
CUST-00027,Female,0,No,No,69,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Electronic check,29.76,2059.29,No
CUST-00028,Female,0,No,Yes,14,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,46.94,656.89,Yes
CUST-00029,Female,0,No,No,60,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,21.25,1272.76,No
CUST-00030,Female,0,No,Yes,32,Yes,No,DSL,Yes,No,No,No,No,Yes,Month-to-month,No,Mailed check,44.02,1416.25,No
CUST-00031,Male,0,Yes,Yes,59,Yes,Yes,Fiber optic,No,No,Yes,Yes,No,No,One year,No,Electronic check,103.07,6080.83,No
CUST-00032,Male,0,Yes,No,4,No,No phone service,DSL,No,No,Yes,No,No,No,One year,No,Mailed check,25.73,108.83,No
CUST-00033,Female,0,Yes,Yes,62,Yes,No,DSL,No,Yes,Yes,No,No,Yes,Two year,Yes,Credit card (automatic),25.53,1595.15,No
CUST-00034,Female,0,No,No,5,Yes,Yes,Fiber optic,No,No,Yes,No,No,Yes,Two year,Yes,Bank transfer (automatic),96.8,488.36,Yes
CUST-00035,Female,0,Yes,Yes,31,Yes,No,DSL,No,Yes,Yes,Yes,No,No,One year,No,Electronic check,54.08,1669.3,No
CUST-00036,Male,0,No,Yes,63,Yes,No,DSL,Yes,Yes,No,Yes,No,No,One year,Yes,Mailed check,48.63,3059.39,No
CUST-00037,Female,1,Yes,No,26,Yes,No,DSL,No,No,No,No,No,Yes,Month-to-month,Yes,Bank transfer (automatic),39.34,1018.35,Yes
CUST-00038,Male,0,No,Yes,37,Yes,No,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,53.84,1994.42,No
CUST-00039,Male,1,Yes,Yes,36,Yes,Yes,DSL,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,55.41,1984.69,No
CUST-00040,Male,0,Yes,No,9,Yes,Yes,Fiber optic,No,No,Yes,No,No,Yes,Month-to-month,Yes,Bank transfer (automatic),60.54,544.9,No
CUST-00041,Male,0,No,Yes,57,Yes,Yes,Fiber optic,No,No,No,Yes,No,No,One year,No,Bank transfer (automatic),100.66,5734.02,No
CUST-00042,Male,0,Yes,Yes,3,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,No,Month-to-month,Yes,Mailed check,73.79,210.18,Yes
CUST-00043,Female,0,No,No,64,No,No phone service,DSL,No,No,Yes,No,No,No,Month-to-month,Yes,Bank transfer (automatic),43.48,2782.47,No
CUST-00044,Female,0,Yes,Yes,30,No,No phone service,Fiber optic,No,Yes,Yes,No,No,No,Month-to-month,No,Bank transfer (automatic),63.43,1895.68,No
CUST-00045,Female,0,Yes,No,32,Yes,No,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Bank transfer (automatic),107.38,3431.77,No
CUST-00046,Female,0,No,Yes,13,Yes,No,Fiber optic,No,No,Yes,No,No,No,Month-to-month,No,Credit card (automatic),95.13,1240.58,No
CUST-00047,Female,1,No,Yes,22,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Mailed check,55.76,1225.67,No
CUST-00048,Male,0,Yes,No,55,Yes,Yes,DSL,Yes,No,No,Yes,No,Yes,Month-to-month,No,Electronic check,65.5,3608.16,No
CUST-00049,Female,0,No,No,1,No,No phone service,Fiber optic,No,No,No,No,Yes,No,Two year,Yes,Mailed check,68.44,72.61,No
CUST-00050,Female,0,No,Yes,59,Yes,Yes,DSL,No,No,No,Yes,No,No,Month-to-month,No,Bank transfer (automatic),31.82,1883.06,No
CUST-00051,Male,0,No,No,18,Yes,No,Fiber optic,No,Yes,No,No,No,Yes,Two year,Yes,Mailed check,53.31,965.87,No
CUST-00052,Female,0,Yes,Yes,49,Yes,No,DSL,No,No,No,No,Yes,No,Month-to-month,Yes,Mailed check,38.01,1860.62,No
CUST-00053,Male,0,Yes,Yes,57,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Bank transfer (automatic),27.57,1570.21,No
CUST-00054,Female,1,No,No,62,Yes,No,Fiber optic,Yes,Yes,No,Yes,No,No,One year,Yes,Bank transfer (automatic),68.08,4215.79,No
CUST-00055,Male,0,No,Yes,45,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Electronic check,20.63,930.15,No
CUST-00056,Female,0,No,No,32,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Electronic check,19.55,626.02,No
CUST-00057,Female,0,Yes,Yes,15,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Bank transfer (automatic),26.41,390.68,No
CUST-00058,Male,0,Yes,No,1,Yes,Yes,DSL,Yes,No,Yes,No,Yes,Yes,Month-to-month,Yes,Mailed check,49.39,49.95,No
CUST-00059,Male,0,No,No,46,Yes,No,Fiber optic,Yes,Yes,Yes,No,No,No,Two year,Yes,Bank transfer (automatic),102.97,4741.26,No
CUST-00060,Male,0,Yes,No,10,No,No phone service,Fiber optic,No,No,No,No,No,No,Two year,No,Electronic check,65.33,651.54,Yes
CUST-00061,Male,0,Yes,Yes,60,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,91.06,5464.2,No
CUST-00062,Male,0,Yes,No,1,No,No phone service,DSL,Yes,No,No,No,No,Yes,Month-to-month,Yes,Mailed check,26.85,28.59,Yes
CUST-00063,Male,0,No,No,59,No,No phone service,DSL,No,Yes,Yes,No,No,Yes,Two year,Yes,Mailed check,32.94,1946.22,No
CUST-00064,Male,0,Yes,No,16,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),78.54,1259.47,Yes
CUST-00065,Male,0,No,No,46,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,27.65,1270.0,No
CUST-00066,Female,0,No,No,24,Yes,No,Fiber optic,Yes,No,No,No,No,No,Two year,No,Electronic check,104.19,2489.39,No
CUST-00067,Female,0,No,No,71,Yes,No,DSL,No,No,No,Yes,No,No,Month-to-month,Yes,Mailed check,64.53,4578.48,Yes
CUST-00068,Male,1,Yes,No,15,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,18.68,277.86,Yes
CUST-00069,Female,1,Yes,No,50,No,No phone service,Fiber optic,Yes,No,Yes,Yes,No,No,One year,Yes,Credit card (automatic),73.72,3692.77,No
CUST-00070,Female,0,No,No,14,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,21.69,297.91,Yes
CUST-00071,Female,0,No,Yes,7,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,18.45,136.53,No
CUST-00072,Female,0,No,No,7,No,No phone service,Fiber optic,No,Yes,Yes,No,No,No,Month-to-month,No,Bank transfer (automatic),77.81,547.42,Yes
CUST-00073,Male,0,No,No,3,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,No,Two year,No,Credit card (automatic),48.71,150.11,No
CUST-00074,Female,1,No,No,10,Yes,No,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,No,Credit card (automatic),97.09,967.35,Yes
CUST-00075,Male,0,No,Yes,52,Yes,Yes,Fiber optic,No,No,Yes,No,No,No,Two year,No,Electronic check,101.03,5248.37,Yes
CUST-00076,Female,1,Yes,No,59,Yes,Yes,DSL,No,Yes,No,Yes,No,No,One year,No,Bank transfer (automatic),40.01,2368.91,No
CUST-00077,Female,1,Yes,No,65,Yes,Yes,Fiber optic,No,No,Yes,No,No,No,Month-to-month,Yes,Credit card (automatic),101.91,6619.32,No
CUST-00078,Female,0,No,No,71,Yes,Yes,DSL,Yes,No,No,Yes,No,Yes,Two year,Yes,Credit card (automatic),43.33,3071.71,No
CUST-00079,Male,0,Yes,No,4,Yes,Yes,Fiber optic,No,No,No,No,Yes,No,Month-to-month,No,Electronic check,72.02,281.34,No
CUST-00080,Female,0,No,No,5,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Mailed check,56.69,276.54,No
CUST-00081,Male,1,Yes,No,68,Yes,No,DSL,Yes,No,No,No,No,Yes,Month-to-month,Yes,Bank transfer (automatic),66.42,4517.24,No
CUST-00082,Female,0,No,Yes,11,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Mailed check,21.91,247.73,Yes
CUST-00083,Male,1,Yes,Yes,47,Yes,No,Fiber optic,Yes,Yes,Yes,No,Yes,No,Two year,No,Bank transfer (automatic),95.6,4494.03,No
CUST-00084,Female,0,Yes,Yes,3,Yes,Yes,Fiber optic,No,No,Yes,No,No,No,One year,No,Mailed check,87.39,264.81,No
CUST-00085,Male,0,No,Yes,57,Yes,No,DSL,No,No,No,No,Yes,Yes,One year,Yes,Credit card (automatic),58.1,3315.97,No
CUST-00086,Male,1,Yes,No,48,Yes,No,Fiber optic,No,Yes,No,No,Yes,No,Two year,Yes,Electronic check,83.33,3987.78,Yes
CUST-00087,Female,0,Yes,No,39,Yes,Yes,DSL,No,No,No,No,No,No,Month-to-month,No,Electronic check,49.75,1941.3,Yes
CUST-00088,Male,0,Yes,No,54,Yes,Yes,DSL,No,No,No,No,No,No,Two year,Yes,Bank transfer (automatic),41.81,2259.88,No
CUST-00089,Female,0,No,No,20,No,No phone service,DSL,No,No,No,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),36.34,720.19,No
CUST-00090,Female,0,No,No,39,Yes,Yes,DSL,No,No,Yes,No,No,No,One year,Yes,Credit card (automatic),46.18,1804.46,No
CUST-00091,Female,0,No,No,17,Yes,No,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,50.03,847.98,No
CUST-00092,Female,0,Yes,No,48,Yes,No,Fiber optic,No,No,No,Yes,Yes,Yes,One year,Yes,Electronic check,66.5,3191.16,No
CUST-00093,Female,1,No,Yes,64,Yes,Yes,Fiber optic,Yes,Yes,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,101.91,6531.65,Yes
CUST-00094,Female,1,Yes,No,24,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,51.38,1238.23,Yes
CUST-00095,Female,0,No,Yes,50,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,24.54,1230.04,No
CUST-00096,Female,0,No,No,26,Yes,Yes,DSL,No,Yes,Yes,No,Yes,No,Month-to-month,Yes,Electronic check,47.63,1240.52,Yes
CUST-00097,Female,0,No,No,46,Yes,No,Fiber optic,No,Yes,Yes,No,Yes,No,One year,No,Electronic check,69.11,3174.68,No
CUST-00098,Female,0,No,No,53,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Electronic check,20.89,1104.4,No
CUST-00099,Female,1,No,Yes,34,Yes,No,DSL,Yes,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,31.21,1061.71,No
CUST-00100,Male,0,No,No,53,Yes,Yes,Fiber optic,No,No,No,Yes,No,Yes,Two year,No,Credit card (automatic),49.49,2617.89,No
CUST-00101,Male,0,Yes,No,9,Yes,No,Fiber optic,No,Yes,Yes,No,Yes,No,Month-to-month,Yes,Credit card (automatic),75.53,675.66,No
CUST-00102,Female,0,No,Yes,45,Yes,Yes,DSL,No,Yes,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),60.43,2716.19,Yes
CUST-00103,Female,0,Yes,Yes,7,Yes,No,DSL,Yes,Yes,No,No,No,Yes,Month-to-month,No,Mailed check,39.86,289.57,No
CUST-00104,Female,0,Yes,No,37,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,20.29,756.62,No
CUST-00105,Female,0,Yes,Yes,39,Yes,Yes,Fiber optic,No,No,Yes,No,No,No,One year,No,Electronic check,103.34,4030.64,No
CUST-00106,Female,0,Yes,No,44,Yes,No,DSL,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),53.83,2362.81,No
CUST-00107,Female,0,Yes,No,17,No,No phone service,Fiber optic,Yes,No,Yes,No,No,Yes,One year,Yes,Mailed check,99.6,1693.59,No
CUST-00108,Female,0,No,No,55,Yes,No,Fiber optic,Yes,No,No,No,No,No,Two year,Yes,Mailed check,80.73,4439.6,No
CUST-00109,Female,0,Yes,Yes,28,Yes,No,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,No,Mailed check,50.61,1425.72,Yes
CUST-00110,Male,0,Yes,No,11,Yes,No,Fiber optic,No,Yes,No,Yes,Yes,Yes,Month-to-month,No,Bank transfer (automatic),50.0,557.75,No
CUST-00111,Female,0,No,No,23,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,No,Month-to-month,Yes,Bank transfer (automatic),54.24,1242.92,No
CUST-00112,Male,0,Yes,Yes,15,Yes,Yes,Fiber optic,Yes,No,Yes,No,No,Yes,One year,Yes,Credit card (automatic),48.13,725.46,No
CUST-00113,Female,0,No,Yes,58,Yes,Yes,Fiber optic,No,Yes,No,Yes,No,No,Month-to-month,Yes,Electronic check,90.94,5271.63,No
CUST-00114,Female,0,No,Yes,64,Yes,No,DSL,No,No,Yes,No,Yes,Yes,Month-to-month,No,Credit card (automatic),28.8,1838.38,No
CUST-00115,Male,0,No,No,62,Yes,No,DSL,No,Yes,Yes,No,No,No,One year,Yes,Bank transfer (automatic),67.33,4180.62,No
CUST-00116,Female,1,No,No,31,Yes,No,DSL,Yes,No,Yes,Yes,Yes,No,Two year,No,Credit card (automatic),60.31,1871.12,No
CUST-00117,Male,1,Yes,Yes,36,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),24.87,908.97,No
CUST-00118,Female,0,Yes,No,14,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Credit card (automatic),29.15,406.77,Yes
CUST-00119,Female,1,Yes,No,6,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,One year,No,Electronic check,78.87,468.55,No
CUST-00120,Male,0,No,No,50,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,No,Month-to-month,No,Mailed check,65.48,3270.35,Yes
CUST-00121,Female,0,Yes,No,62,Yes,Yes,DSL,No,Yes,No,No,Yes,No,Month-to-month,Yes,Credit card (automatic),37.8,2343.89,Yes
CUST-00122,Male,0,Yes,Yes,33,Yes,Yes,Fiber optic,No,Yes,Yes,No,No,No,One year,Yes,Electronic check,99.39,3274.1,No
CUST-00123,Female,0,Yes,Yes,33,No,No phone service,DSL,No,No,No,No,Yes,Yes,Two year,No,Bank transfer (automatic),42.65,1405.36,No
CUST-00124,Male,0,No,No,55,Yes,No,Fiber optic,No,No,No,No,No,Yes,Month-to-month,No,Credit card (automatic),48.96,2686.95,No
CUST-00125,Male,0,Yes,Yes,7,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,26.25,180.21,No
CUST-00126,Female,0,No,No,61,Yes,Yes,DSL,No,No,No,No,No,No,One year,Yes,Mailed check,27.41,1668.55,No
CUST-00127,Female,0,Yes,No,42,No,No phone service,Fiber optic,No,No,No,Yes,No,No,One year,Yes,Credit card (automatic),74.85,3146.09,No
CUST-00128,Male,0,Yes,No,70,Yes,No,Fiber optic,No,No,Yes,Yes,No,No,One year,Yes,Mailed check,75.52,5284.83,Yes
CUST-00129,Female,1,Yes,No,32,Yes,No,DSL,No,Yes,No,Yes,Yes,No,Month-to-month,Yes,Mailed check,37.51,1199.1,Yes
CUST-00130,Female,0,No,No,60,Yes,No,Fiber optic,No,Yes,Yes,No,No,Yes,One year,Yes,Electronic check,99.91,5991.73,Yes
CUST-00131,Female,0,No,No,33,Yes,Yes,Fiber optic,No,Yes,Yes,No,No,No,Month-to-month,No,Mailed check,63.35,2082.9,Yes
CUST-00132,Male,0,Yes,No,10,Yes,Yes,Fiber optic,Yes,No,Yes,No,Yes,No,Month-to-month,Yes,Mailed check,64.17,638.03,Yes
CUST-00133,Male,0,Yes,No,49,Yes,No,DSL,No,No,No,No,No,No,Two year,Yes,Mailed check,40.64,1998.87,No
CUST-00134,Male,0,No,No,30,Yes,No,Fiber optic,No,No,Yes,No,No,No,Month-to-month,No,Credit card (automatic),94.4,2825.06,Yes
CUST-00135,Male,0,Yes,No,67,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),26.64,1783.04,No
CUST-00136,Male,0,Yes,Yes,8,Yes,No,Fiber optic,No,No,Yes,No,Yes,No,Month-to-month,No,Electronic check,58.64,464.39,No
CUST-00137,Male,0,Yes,Yes,3,Yes,No,Fiber optic,No,No,Yes,Yes,Yes,No,One year,Yes,Mailed check,74.05,224.25,No
CUST-00138,Male,0,Yes,No,38,Yes,No,DSL,No,No,Yes,No,No,Yes,Two year,Yes,Credit card (automatic),25.66,971.78,No
CUST-00139,Male,0,Yes,No,47,Yes,Yes,DSL,No,No,No,Yes,No,No,Month-to-month,No,Mailed check,48.31,2271.41,No
CUST-00140,Male,0,Yes,No,10,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Electronic check,21.52,220.71,No
CUST-00141,Female,0,Yes,No,52,No,No phone service,DSL,Yes,No,No,Yes,No,No,Month-to-month,Yes,Electronic check,69.31,3603.69,No
CUST-00142,Male,0,No,Yes,42,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,25.5,1067.59,Yes
CUST-00143,Female,0,Yes,No,63,Yes,No,DSL,No,Yes,No,No,No,Yes,One year,Yes,Credit card (automatic),55.89,3527.76,No
CUST-00144,Female,1,No,No,13,No,No phone service,DSL,No,Yes,No,No,No,Yes,Month-to-month,No,Credit card (automatic),25.83,333.99,Yes
